Tanggal,Variant_Suspect,Day,ID_DAILY_POSITIVE,ID_DAILY_HOSPITALIZED,ID_DAILY_CURED,ID_DAILY_DEATH,JKT_DAILY_DEATH,JKT_DAILY_CURED,JKT_DAILY_ISOLATION,JKT_DAILY_HOSPITALIZED,JKT_DAILY_POSITIVE,JKT_DAILY_TESTSPECIMENT,JKT_DAILY_POSTEST,JKT_DAILY_POSTRATE,JKT_CONS_VALUE,CoF_HSE,PoF_Spec_X_PostRate,Risk,Risk_Criteria
1/3/2020,Alpha-Beta-Gamma,1,0,0,0,0,0,0,0,0,0,39,0,0,0,1,1,1,LOW
2/3/2020,Alpha-Beta-Gamma,2,2,2,0,0,0,0,0,0,0,3,0,0,0,1,1,1,LOW
3/3/2020,Alpha-Beta-Gamma,3,0,0,0,0,1,0,0,2,3,15,3,0.2,10,1,1,1,LOW
4/3/2020,Alpha-Beta-Gamma,4,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,1,LOW
5/3/2020,Alpha-Beta-Gamma,5,0,0,0,0,2,0,0,2,4,5,0,0,14,1,1,1,LOW
6/3/2020,Alpha-Beta-Gamma,6,2,2,0,0,0,0,0,0,0,26,0,0,0,1,1,1,LOW
7/3/2020,Alpha-Beta-Gamma,7,0,0,0,0,0,0,0,0,0,56,0,0,0,1,1,1,LOW
8/3/2020,Alpha-Beta-Gamma,8,2,2,0,0,0,0,0,0,0,73,25,0.342,0,1,2,2,LOW
9/3/2020,Alpha-Beta-Gamma,9,13,13,0,0,0,0,0,27,27,52,0,0,81,1,1,1,LOW
10/3/2020,Alpha-Beta-Gamma,10,8,6,2,0,0,0,0,0,0,48,3,0.063,0,1,1,1,LOW
11/3/2020,Alpha-Beta-Gamma,11,7,6,0,1,0,0,0,2,2,56,23,0.411,6,1,2,2,LOW
12/3/2020,Alpha-Beta-Gamma,12,0,0,0,0,2,0,0,24,26,30,10,0.333,80,1,2,2,LOW
13/03/2020,Alpha-Beta-Gamma,13,35,32,0,3,2,0,0,8,10,44,3,0.068,32,1,1,1,LOW
14/03/2020,Alpha-Beta-Gamma,14,27,20,6,1,2,0,0,5,7,41,15,0.366,23,1,2,2,LOW
15/03/2020,Alpha-Beta-Gamma,15,21,21,0,0,2,0,0,14,16,47,2,0.043,50,1,1,1,LOW
16/03/2020,Alpha-Beta-Gamma,16,17,17,0,0,1,0,7,-6,2,104,26,0.25,-7,1,2,2,LOW
17/03/2020,Alpha-Beta-Gamma,17,38,37,1,0,0,0,20,5,25,132,38,0.288,35,1,2,2,LOW
18/03/2020,Alpha-Beta-Gamma,18,55,39,2,14,3,12,15,8,38,154,48,0.312,63,1,2,2,LOW
19/03/2020,Alpha-Beta-Gamma,19,82,72,4,6,4,1,15,30,50,118,12,0.102,122,1,1,1,LOW
20/03/2020,Alpha-Beta-Gamma,20,60,51,2,7,1,0,9,4,14,1190,437,0.367,25,1,2,2,LOW
21/03/2020,Alpha-Beta-Gamma,21,81,72,3,6,3,4,5,32,44,1790,430,0.24,117,1,1,1,LOW
22/03/2020,Alpha-Beta-Gamma,22,64,45,9,10,6,4,6,20,36,1119,471,0.421,94,1,2,2,LOW
23/03/2020,Alpha-Beta-Gamma,23,65,63,1,1,0,1,2,48,51,1022,446,0.436,147,2,2,4,MEDIUM
24/03/2020,Alpha-Beta-Gamma,24,107,101,0,6,5,1,30,35,71,887,437,0.493,156,2,2,4,MEDIUM
25/03/2020,Alpha-Beta-Gamma,25,104,100,1,3,9,4,3,30,46,959,448,0.467,133,2,2,4,MEDIUM
26/03/2020,Alpha-Beta-Gamma,26,103,79,4,20,6,2,1,34,43,887,435,0.49,129,1,2,2,LOW
27/03/2020,Alpha-Beta-Gamma,27,153,133,11,9,8,2,19,22,51,1126,502,0.446,119,1,2,2,LOW
28/03/2020,Alpha-Beta-Gamma,28,109,81,13,15,5,12,2,18,37,751,426,0.567,88,1,2,2,LOW
29/03/2020,Alpha-Beta-Gamma,29,130,113,5,12,5,5,17,71,98,922,431,0.467,255,2,2,4,MEDIUM
30/03/2020,Alpha-Beta-Gamma,30,129,110,11,8,11,1,0,14,26,1047,478,0.457,87,1,2,2,LOW
31/03/2020,Alpha-Beta-Gamma,31,114,94,6,14,6,0,6,2,14,920,504,0.548,36,1,2,2,LOW
1/4/2020,Alpha-Beta-Gamma,32,149,106,22,21,6,2,19,48,75,1343,532,0.396,189,2,2,4,MEDIUM
2/4/2020,Alpha-Beta-Gamma,33,113,91,9,13,5,3,19,66,93,1501,545,0.363,240,2,2,4,MEDIUM
