Tanggal,Variant_Suspect,Day,ID_CUM_POSITIVE,ID_CUM_HOSPITALIZED,ID_CUM_CURED,ID_CUM_DEATH,JKT_CUM_POSITIVE,JKT_CUM_HOSPITALIZED,JKT_CUM_CURED,JKT_CUM_DEATH,JKT_CUM_SELFISOLATION,JKT_CUM_ACTIVEPOSITIVE,ID_DAILY_POSITIVE,ID_DAILY_HOSPITALIZED,ID_DAILY_CURED,ID_DAILY_DEATH,JKT_DAILY_DEATH,JKT_DAILY_CURED,JKT_DAILY_ISOLATION,JKT_DAILY_HOSPITALIZED,JKT_DAILY_POSITIVE,JKT_DAILY_ACTIVEPOSITIVE,JKT_DAILY_BURIAL,JKT_CUM_BURIAL,JKT_DAILY_TESTSPECIMENT,JKT_DAILY_POSTEST,PoF_Positive,JKT_DAILY_NEGTEST,JKT_DAILY_POSTRATE,PoF_PostRate,JKT_CONS_VALUE,CoF_HSE
01/03/2020,Alpha-Beta-Gamma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,39,0,,39,0,1,0,1
02/03/2020,Alpha-Beta-Gamma,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,136,286,3,0,,3,0,1,0,1
03/03/2020,Alpha-Beta-Gamma,3,2,2,0,0,3,2,0,1,0,2,0,0,0,0,1,0,0,2,3,2,135,421,15,3,,12,0.2,2,10,1
04/03/2020,Alpha-Beta-Gamma,4,2,2,0,0,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,116,537,7,0,,7,0,1,0,1
05/03/2020,Alpha-Beta-Gamma,5,2,2,0,0,7,4,0,3,0,4,0,0,0,0,2,0,0,2,4,2,124,661,5,0,,5,0,1,14,1
06/03/2020,Alpha-Beta-Gamma,6,4,4,0,0,7,4,0,3,0,4,2,2,0,0,0,0,0,0,0,0,158,819,26,0,,26,0,1,0,1
07/03/2020,Alpha-Beta-Gamma,7,4,4,0,0,7,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,144,963,56,1,,55,0.017857143,1,0,1
08/03/2020,Alpha-Beta-Gamma,8,6,6,0,0,7,4,0,3,0,4,2,2,0,0,0,0,0,0,0,0,106,1069,73,27,,46,0.369863014,3,0,1
09/03/2020,Alpha-Beta-Gamma,9,19,19,0,0,34,31,0,3,0,31,13,13,0,0,0,0,0,27,27,27,145,1214,52,2,,50,0.038461538,1,81,1
10/03/2020,Alpha-Beta-Gamma,10,27,25,2,0,34,31,0,3,0,31,8,6,2,0,0,0,0,0,0,0,146,1360,48,26,,22,0.541666667,3,0,1
